pH,Conductivity (mS/m),Turbidity (NTU),Colour (TCU),Ammonium (mg/L)
8.13,49.4,5,24,0.276
8.07,53.7,5,22,0.244
8.16,56.2,3,25,0.234
8.34,57,5,24,0.19
8.35,59.8,9,26,0.207
8.22,62.9,10,37,0.265
8.51,66.6,15,39,0.11
8.59,65.6,11,37,0.271
8.31,58.8,12,34,0.178
8.45,61.5,21,40,0.495
8.76,60.88,12.25,34,0.23
8.64,62.72,9.93,32,0.24
8.87,65.47,6.01,26,0.11
8.61,63.96,14.64,25,0.33
8.23,67.25,2.91,30,0.18
8.28,68.3,3.11,48.5,0.35
8.01,71.12,14.87,37,0.5
8.11,69.5,14.34,45,0.37
7.96,64.85,24.53,41,0.33
8.27,65.2,9.5,27,0.21
7.93,63.38,7.56,33,0.06
7.64,64.88,13.29,37,0.08
7.17,65.64,9.78,41.6,0.05
8.59,63.46,6.4,30,0.02
8.71,66.57,6.21,23,0.02
8.75,66.56,5.74,25.4,0.06
8.4,66.38,3.66,21,0.03
8.27,65.88,3.7,19.5,0.05
8.47,65.62,6.32,32,0.07
8.13,66.37,5.9,19.33,0.14
7.88,67.72,8.5,41.5,0.32
8.06,47.35,229,1185,2.06
7.64,27.94,204.7,626,1.85
7.25,24.51,197,1009,1.85
7.57,35.5,49.74,155.2,0.76
7.95,44.02,11.73,70,0.27
8,51.33,7.35,33.67,0.11
8.1,161.5,4.74,34.4,0.16
8.31,60.62,3.67,26.8,0.3
8.02,63.2,3.65,24.5,0.24
7.99,65.72,5.97,24.75,0.14
8.27,67.6,5.98,26.4,0.05
8.05,68.2,9.65,36,0.07
8.05,70.46,9.33,32.8,0.21
8.16,71.5,12.78,24.2,0.09
7.86,73.55,13.13,53,0.1
8.47,71.15,28.13,76,0.09
8.47,70.55,28.84,97,-0.02
8.25,71.72,15.95,42.75,0.07
8.19,73.3,9.52,29.33,0.06
8.42,73.86,8.43,20.8,0.08
8.41,73.37,12.63,23.75,0.25
8.32,77.32,19.14,23.6,0.09
8.32,77.32,19.14,23.6,0.09
8.57,78.28,24.55,24.75,0.03
8.24,73.62,25.48,19.6,0.04
8.632499695,62.25,68.69999695,59,0.041999999
8.430000305,57.79999924,26.72500038,18.5,0.032499999
8.44,70.78,29,27,0.04
8.79,62.15,28.25,24,0.05
7.09,49.88,12.48,35,0.0024
7.98,53.4,8.31,60,0.043
8.41,54,5.97,44,0.078
8.11,57.16,5.97,131,0.12
8.13,61.2,5.97,110,0.15
7.94,62.07,5.97,126,0.098
8.33,60.64,5.97,153,0.2
7.02,26.51,234.8,1524,0.2
7.35,31.35,100.1,423,0.015
7.45,33.9,17.525,75,0.057
7.34,39.98,17.525,63,0.057
7.94,45.65,30.375,118,0.18
7.09,49.88,12.482,35,0.024
7.98,53.4,8.31,60,0.043
8.41,54,5.97,44,0.078
8.11,57.16,15.93,131,0.12
8.13,61.2,17.73,110,0.15
7.94,62.07,16.47,126,0.098
8.33,60.64,27.84,153,0.2
8.36,62.9,32.58,204,0.19
8.43,66.18,29.59,170,0.11
8.25,68.96,25.83,165,0.23
8.28,71.58,22.73,146,0.12
8.77,72.1,26.14,31,0.064
8.95,73.38,29.97,23,0.035
8.94,43.1,4,33,0.18
9.11,44.8,5,26,0.18
8.3,47.2,7,34,0.16
9.01,46.9,5,28,0.27
8.69,49.2,11,35,0.24
8.69,48.5,7,28,0.36
8.9,46.8,6,36,0.15
8.78,42.5,10,34,0.1
8.6,36.8,13,44,0.12
8.97,39.5,20,36,0.14
9.42,40,5.75,24,0.14
9.4,41.95,16.17,33,0.18
8.69,42.7,7.85,24,0.71
9.2,44.46,6.81,25.2,0.32
8.77,46.5,3.13,27,0.3
8.07,44.6,1.45,38.75,0.26
8.77,44.16,2.11,26.2,0.24
8.2,46.6,6.4,30,0.17
8.62,44.44,3.54,33.2,0.13
8.19,41.97,5.54,38,0.1
8.28,38.7,9.83,32,0.09
7.95,40.45,4.04,32,0.02
6.96,42.76,5.85,32.6,0.02
8.28,45.5,10.34,33,0.03
8.28,45.5,10.34,33,0.03
8.08,48,2.05,24,0.04
8.19,50.83,3.05,26.75,0.06
8.25,52.35,3.57,27.5,0.11
8.53,48.72,5.46,32,0.05
8.57,48.1,4.41,31,0.09
8.41,43.32,10.29,54,0.15
8.32,38,23.1,59.5,0.26
8.2,31.48,30.33,94.5,0.55
8.14,31.27,23.55,78,0.4
8.3,37.18,4.69,36.4,0.18
8.19,43.2,4.66,44,0.41
7.87,46.8,11.5,59,0.1
8.26,46.85,2.93,25.5,0.17
8.28,48.62,2.22,37,0.29
8.16,51.25,7.11,32.5,0.58
8.61,51.35,7.68,38,0.16
8.89,47.8,10.94,35.25,0.04
8.73,41.68,13.48,49,0.08
8.91,37.46,11.25,35.2,0.12
9.16,39.64,21.34,24.2,0.16
8.59,42.5,12.31,37.25,0.02
8.46,45.17,7.57,26.25,0.05
7.95,47.5,9.72,25.67,0.55
8.3,50.13,1.65,26.33,0.74
8.41,51.34,2.28,0,0.31
8.23,52.25,3.33,24.75,0.75
8.21,54.63,3.91,28,1.16
8.66,58.12,3.39,28.4,0.19
8.82,57.8,3.92,25.25,0.13
9.03,54.42,9.54,29.75,0.06
8.55,48.4,4.87,18.6,0.15
8.1,43.05,7.13,34.25,0.13
8.21,49.5,3.91,28,2.3
8.36,47.56,9.13,25.8,0.03
8.19,48.58,4.02,24,0.12
8.11,53.6,2.99,5,0.033
8.19,54.03,2.99,3,0.015
8.11,52.03,3.09,-2,0.76
7.62,55.5,3.6,22,0.53
7.48,51.75,9.47,44,0.4
7.67,47.17,3.08,33,0.53
7.79,44.04,6.02,26,0.35
8.18,40.95,4.33,24,0.27
8.25,39.15,3.18,21,0.02
7.94,40.9,5.41,28,0.035
8.81,44.85,4.76,27,0.11
8.53,47.6,1.25,18,0.085
8.22,49.98,1,17,0.79
8.04,53.78,1.76,29,1.15
7.86,52.27,1.64,30,1.31
7.95,51.8,19.3,126,1.97
8.58,51.7,2.41,28,5.13
7.79,50.25,3.88,39,0.78
7.71,49.86,4.06,28,0.3
7.89,47.38,3.17,34,0.59
8.27,41.38,24.44,130,0.18
7.49,28.7,24.38,169,0.1
7.89,36.73,4.65,39,0.048
7.87,42.4,0.901,28.3,1.09
8.8,46.6,10.09,29,0.19
7.91,46.7,10,27,0.651
7.82,47.7,5,31,0.277
8.07,49,4,25,0.32
8.4,38.9,4.53,22.9,0.42
8.28,50.1,4,27,0.656
8.49,47.4,7,35,0.286
8.64,45.2,8,26,0.171
9.24,36.9,14,36,0.111
9.2025,38.55,14.625,29.25,0.26925
9.69,39.72,11.75,29,0.17
8.8,46.6,10.09,29,0.19
8.42,46.73,10.76,24,0.2
8.29,47.74,3.33,22,0.32
8.35,47.03,2.76,22,0.5
8.1,45.5,2.13,36,1.27
7.88,47.47,4.18,27.25,1.68
8.59,46,9.48,33,0.84
8.02,46.12,3.81,25,1.03
7.93,45.47,3.99,34,0.74
